Round64,Round32,Round16,Round8,Round4,Round2,Round1
W01,W01,W01,W01,W01,W01,W01
W16,W09,W05,W03,X01,Z03,
W08,W05,W03,X01,Y11,,
W09 ,W12,W02,X02,Z03,,
W05,W06,X01,Y09,,,
W12,W03,X05,Y11,,,
W04,W10,X11,Z09,,,
W13,W02,X12,Z03,,,
W06,X01,Y09,,,,
W11,X08,Y05,,,,
W03,X05,Y11,,,,
W14,X04,Y07,,,,
W07 ,X11,Z09,,,,
W10,X03,Z04,,,,
W02,X07,Z03,,,,
W15,X02,Z07,,,,
X01,Y16,,,,,
X16,Y09,,,,,
X08,Y05,,,,,
X09 ,Y13,,,,,
X05,Y11,,,,,
X12,Y03,,,,,
X04,Y07,,,,,
X13,Y02,,,,,
X06,Z01,,,,,
X11,Z09,,,,,
X03,Z05,,,,,
X14,Z04,,,,,
X07 ,Z06,,,,,
X10,Z03,,,,,
X02,Z07,,,,,
X15,Z02,,,,,
Y01,,,,,,
Y16,,,,,,
Y08,,,,,,
Y09 ,,,,,,
Y05,,,,,,
Y12,,,,,,
Y04,,,,,,
Y13,,,,,,
Y06,,,,,,
Y11,,,,,,
Y03,,,,,,
Y14,,,,,,
Y07 ,,,,,,
Y10,,,,,,
Y02,,,,,,
Y15,,,,,,
Z01,,,,,,
Z16,,,,,,
Z08,,,,,,
Z09 ,,,,,,
Z05,,,,,,
Z12,,,,,,
Z04,,,,,,
Z13,,,,,,
Z06,,,,,,
Z11,,,,,,
Z03,,,,,,
Z14,,,,,,
Z07 ,,,,,,
Z10,,,,,,
Z02,,,,,,
Z15,,,,,,
