Round64,Round32,Round16,Round8,Round4,Round2,Round1
Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Wisconsin,Duke
Manhattan,Cincinnati,West Virginia,Notre Dame,Wisconsin,Duke,
Cincinnati,West Virginia,Notre Dame,Wisconsin,Michigan State,,
Purdue,Maryland,Wichita State,Arizona,Duke,,
West Virginia,Butler,Wisconsin,Louisville,,,
Buffalo,Notre Dame,North Carolina,Michigan State,,,
Maryland,Wichita State,Xavier,Duke,,,
Valparaiso,Kansas,Arizona,Gonzaga,,,
Butler,Wisconsin,NC State,,,,
Texas,Oregon ,Louisville,,,,
Notre Dame,Arkansas,Oklahoma,,,,
Northeastern,North Carolina,Michigan State,,,,
Wichita State,Xavier,Duke,,,,
Indiana,Georgia State,Utah,,,,
Kansas,Ohio State,UCLA,,,,
New Mexico State,Arizona,Gonzaga,,,,
Wisconsin,Villanova,,,,,
Coastal Carolina,NC State,,,,,
Oregon ,UNI,,,,,
Oklahoma State,Louisville,,,,,
Arkansas,Dayton,,,,,
Wofford,Oklahoma,,,,,
North Carolina,Michigan State,,,,,
Harvard,Virginia,,,,,
Xavier,Duke,,,,,
Mississippi,San Diego State,,,,,
Baylor,Utah,,,,,
Georgia State,Georgetown,,,,,
VCU,UCLA,,,,,
Ohio State,UAB,,,,,
Arizona,Iowa,,,,,
Hampton,Gonzaga,,,,,
Villanova,,,,,,
Lafayette,,,,,,
NC State,,,,,,
LSU ,,,,,,
Northern Iowa,,,,,,
Wyoming,,,,,,
Louisville,,,,,,
UC Irvine,,,,,,
Providence,,,,,,
Dayton,,,,,,
Oklahoma,,,,,,
Albany,,,,,,
Michigan State ,,,,,,
Georgia,,,,,,
Virginia,,,,,,
Belmont,,,,,,
Duke,,,,,,
Robert Morris,,,,,,
San Diego State,,,,,,
St. John's,,,,,,
Utah,,,,,,
Stephen F. Austin,,,,,,
Georgetown,,,,,,
Eastern Washington,,,,,,
SMU,,,,,,
UCLA,,,,,,
UAB,,,,,,
Iowa,,,,,,
Davidson,,,,,,
Gonzaga,,,,,,
North Dakota State,,,,,,
