midwest,Round64,Round32,Round16,Round8,Round4,Round2,Round1
west,Virginia,Virginia,Virginia,Virginia,Syracuse,North Carolina,Villanova
east,Hampton,Butler,Iowa State,Syracuse,Oklahoma,Villanova,
south,Texas Tech,Little Rock,Gonzaga,Oregon,North Carolina,,
,Butler,Iowa State,Syracuse,Oklahoma,Villanova,,
,Purdue,Gonzaga,Oregon,North Carolina,,,
,Little Rock,Utah,Duke,Notre Dame,,,
,Iowa State,Syracuse,Texas A&M,Kansas,,,
,Iona,Middle Tennessee,Oklahoma,Villanova,,,
,Seton Hall,Oregon,North Carolina,,,,
,Gonzaga,Saint Joseph's,Indiana,,,,
,Utah,Yale,Notre Dame,,,,
,Fresno State,Duke,Wisconsin,,,,
,Dayton,Northern Iowa,Kansas,,,,
,Syracuse,Texas A&M,Maryland,,,,
,Michigan State,VCU,Miami,,,,
,Middle Tennessee,Oklahoma,Villanova,,,,
,Oregon,North Carolina,,,,,
,Holy Cross,Providence,,,,,
,Saint Joseph's,Indiana,,,,,
,Cincinnati,Kentucky,,,,,
,Baylor,Notre Dame,,,,,
,Yale,Stephen F. Austin,,,,,
,Duke,Wisconsin,,,,,
,UNC Wilmington,Xavier,,,,,
,Texas,Kansas,,,,,
,Northern Iowa,Connecticut,,,,,
,Texas A&M,Maryland,,,,,
,Green Bay,Hawaii,,,,,
,Oregon State,Wichita State,,,,,
,VCU,Miami,,,,,
,Oklahoma,Iowa State,,,,,
,Cal State Bakersfield,Villanova,,,,,
,North Carolina,,,,,,
,Florida Gulf Coast,,,,,,
,USC,,,,,,
,Providence,,,,,,
,Indiana,,,,,,
,Chattanooga,,,,,,
,Kentucky,,,,,,
,Stony Brook,,,,,,
,Notre Dame,,,,,,
,Michigan,,,,,,
,West Virginia,,,,,,
,Stephen F. Austin,,,,,,
,Wisconsin,,,,,,
,Pittsburgh,,,,,,
,Xavier,,,,,,
,Weber State,,,,,,
,Kansas,,,,,,
,Austin Peay,,,,,,
,Colorado,,,,,,
,Connecticut,,,,,,
,Maryland,,,,,,
,South Dakota State,,,,,,
,California,,,,,,
,Hawaii,,,,,,
,Arizona,,,,,,
,Wichita State,,,,,,
,Miami,,,,,,
,Buffalo,,,,,,
,Iowa,,,,,,
,Temple,,,,,,
,Villanova,,,,,,
,UNC Asheville,,,,,,
